Ticker,Shares
BB.TO,45591.50508789602
BAC,1314.503635359272
SHOP.TO,491.29399902892965
C,683.8910978331601
BLK,47.067034703522005
PYPL,393.40268129896907
BK,400.0298000216779
LLY,73.5573538032992
MO,535.5843909931513
AXP,106.6041386757009
AMZN,544.3169160665338
AAPL,466.7673275701812
